PRIMROSE TOWER 17A TINIBU STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAGOS, Lagos",,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Send  Activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Settlement Currency : ,,,,USD,,,Transaction Currency : ,,,,,,NGN,,,,,,,,,,,,,,,
,,,,,,,,,Orig,Rcv,,,,,,,FX,,,,,,,Fx Rev,,,,
Tran Date,,Tran Id,,,,Ref #,,Prod,Cntry,Cntry,,FX Rate,,,,FX Date,Margin,,,Base Amt,Fee Amt,,,Share Amt,Commission Amt,,,Total
,Agent Name : ,,,,FCMB - #001 - LAGOS - HEAD OFFICE BRANCH,,,,,,,,,,,,,,,,,,,,,,,
,Legacy ID : ,,,,652825,,,,,Store Number : ,,,,001,,,,,,,,,,,,,,
23/04/2019,,2185379330,,,,92043341,,MT,NGA,CAN,,.00376140845,,,,23/04/2019,,,trn,"265,859.00","12,350.00",,0.00,,,"-2,223.00",,"-2,223.00"
,,,,,,,,,,,,.00281690141,,,,23/04/2019,,,stl,748.90,34.79,,0.00,,,(6.26),,(6.26)
23/04/2019,,2185379330,,,,92043341,,MT,NGA,CAN,,.00376140845,,,,23/04/2019,,,trn,0.00,0.00,,0.00,,,111.15,mk,111.15
,,,,,,,,,,,,.00281690141,,,,23/04/2019,,,stl,0.00,0.00,,0.00,,,0.31,,0.31
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"265,859.00","12,350.00",,0.00,,,"-2,111.85","-2,111.85",
,,,,,,,,,,,,,,,,,,,,748.90,34.79,,0.00,,,(5.95),(5.95),
Account Number : ,,,100711693 - 100712857,,,,,,,,,,,,,,,,,,,,,,,,,
,Agent Name : ,,,,FCMB - #010 - LAGOS ISLAND - IDUMAGBO BRANCH,,,,,,,,,,,,,,,,,,,,,,,
,Legacy ID : ,,,,654005,,,,,Store Number : ,,,,010,,,,,,,,,,,,,,
05/04/2019,,2179864506,,,,81743050,,MT,NGA,ZWE,,.00281690141,,,,05/04/2019,,,trn,"213,000.00","9,500.00",,0.00,,,"-1,710.00",,"-1,710.00"
,,,,,,,,,,,,.00281690141,,,,05/04/2019,,,stl,600.00,26.76,,0.00,,,(4.82),,(4.82)
05/04/2019,,2179864506,,,,81743050,,MT,NGA,ZWE,,.00281690141,,,,05/04/2019,,,trn,0.00,0.00,,0.00,,,85.50,mk,85.50
,,,,,,,,,,,,.00281690141,,,,05/04/2019,,,stl,0.00,0.00,,0.00,,,0.24,,0.24
