PRIMROSE TOWER 17A TINIBU STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAGOS, Lagos",,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Send  Activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Settlement Currency : ,,,,USD,,,Transaction Currency : ,,,,,,NGN,,,,,,,,,,,,,,,
,,,,,,,,,Orig,Rcv,,,,,,,FX,,,,,,,Fx Rev,,,,
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"213,000.00","9,500.00",,0.00,,,"-1,624.50","-1,624.50",
,,,,,,,,,,,,,,,,,,,,600.00,26.76,,0.00,,,(4.58),(4.58),
10/04/2019,,2181449540,,,,99586522,,MT,NGA,IND,,.19481690152,,,,10/04/2019,,,trn,"355,000.00","12,350.00",,0.00,,,"-2,223.00",,"-2,223.00"
,,,,,,,,,,,,.00281690141,,,,10/04/2019,,,stl,"1,000.00",34.79,,0.00,,,(6.26),,(6.26)
10/04/2019,,2181449540,,,,99586522,,MT,NGA,IND,,.19481690152,,,,10/04/2019,,,trn,0.00,0.00,,0.00,,,111.15,mk,111.15
,,,,,,,,,,,,.00281690141,,,,10/04/2019,,,stl,0.00,0.00,,0.00,,,0.31,,0.31
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"355,000.00","12,350.00",,0.00,,,"-2,111.85","-2,111.85",
,,,,,,,,,,,,,,,,,,,,"1,000.00",34.79,,0.00,,,(5.95),(5.95),
24/04/2019,,2185726452,,,,98384029,,MT,NGA,USA,,.00281690141,,,,24/04/2019,,,trn,"248,500.00","12,350.00",,0.00,,,"-2,223.00",,"-2,223.00"
,,,,,,,,,,,,.00281690141,,,,24/04/2019,,,stl,700.00,34.79,,0.00,,,(6.26),,(6.26)
24/04/2019,,2185726452,,,,98384029,,MT,NGA,USA,,.00281690141,,,,24/04/2019,,,trn,0.00,0.00,,0.00,,,111.15,mk,111.15
,,,,,,,,,,,,.00281690141,,,,24/04/2019,,,stl,0.00,0.00,,0.00,,,0.31,,0.31
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"248,500.00","12,350.00",,0.00,,,"-2,111.85","-2,111.85",
,,,,,,,,,,,,,,,,,,,,700.00,34.79,,0.00,,,(5.95),(5.95),
Account   100711693 - 100712857 Total : ,,,,,,,,,,,,,,,,,,3,,"816,500.00","34,200.00",,0.00,,,"-5,848.20","-5,848.20",
,,,,,,,,,,,,,,,,,,,,"2,300.00",96.34,,0.00,,,(16.48),(16.48),
Account Number : ,,,100711693 - 100712858,,,,,,,,,,,,,,,,,,,,,,,,,
,Agent Name : ,,,,FCMB - #011 - IJEBU ODE - IJEBU-ODE BRANCH,,,,,,,,,,,,,,,,,,,,,,,
,Legacy ID : ,,,,654006,,,,,Store Number : ,,,,011,,,,,,,,,,,,,,
08/04/2019,,2180766038,,,,60851853,,MT,NGA,SLE,,24.25690142179,,,,08/04/2019,,,trn,"15,000.00","1,500.00",,0.00,,,(270.00),,(270.00)
,,,,,,,,,,,,.00281690141,,,,08/04/2019,,,stl,42.25,4.23,,0.00,,,(0.76),,(0.76)
08/04/2019,,2180766038,,,,60851853,,MT,NGA,SLE,,24.25690142179,,,,08/04/2019,,,trn,0.00,0.00,,0.00,,,13.50,mk,13.50
,,,,,,,,,,,,.00281690141,,,,08/04/2019,,,stl,0.00,0.00,,0.00,,,0.04,,0.04
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"15,000.00","1,500.00",,0.00,,,(256.50),(256.50),
,,,,,,,,,,,,,,,,,,,,42.25,4.23,,0.00,,,(0.72),(0.72),
09/04/2019,,2181172411,,,,39139910,,MT,NGA,USA,,.00281690141,,,,09/04/2019,,,trn,"54,000.00","5,500.00",,0.00,,,(990.00),,(990.00)
,,,,,,,,,,,,.00281690141,,,,09/04/2019,,,stl,152.11,15.49,,0.00,,,(2.79),,(2.79)
09/04/2019,,2181172411,,,,39139910,,MT,NGA,USA,,.00281690141,,,,09/04/2019,,,trn,0.00,0.00,,0.00,,,49.50,mk,49.50
,,,,,,,,,,,,.00281690141,,,,09/04/2019,,,stl,0.00,0.00,,0.00,,,0.14,,0.14
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"54,000.00","5,500.00",,0.00,,,(940.50),(940.50),
,,,,,,,,,,,,,,,,,,,,152.11,15.49,,0.00,,,(2.65),(2.65),
Account   100711693 - 100712858 Total : ,,,,,,,,,,,,,,,,,,2,,"69,000.00","7,000.00",,0.00,,,"-1,197.00","-1,197.00",
,,,,,,,,,,,,,,,,,,,,194.36,19.72,,0.00,,,(3.37),(3.37),
Account Number : ,,,100711693 - 100712890,,,,,,,,,,,,,,,,,,,,,,,,,
,Agent Name : ,,,,FCMB - #023 - VICTORIA ISLAND  - ADEOLA ODEKU BRANCH,,,,,,,,,,,,,,,,,,,,,,,
,Legacy ID : ,,,,654018,,,,,Store Number : ,,,,023,,,,,,,,,,,,,,
23/04/2019,,2185434388,,,,53356122,,MT,NGA,USA,,.00281690141,,,,23/04/2019,,,trn,"78,100.00","5,500.00",,0.00,,,(990.00),,(990.00)
,,,,,,,,,,,,.00281690141,,,,23/04/2019,,,stl,220.00,15.49,,0.00,,,(2.79),,(2.79)
23/04/2019,,2185434388,,,,53356122,,MT,NGA,USA,,.00281690141,,,,23/04/2019,,,trn,0.00,0.00,,0.00,,,49.50,mk,49.50
,,,,,,,,,,,,.00281690141,,,,23/04/2019,,,stl,0.00,0.00,,0.00,,,0.14,,0.14
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"78,100.00","5,500.00",,0.00,,,(940.50),(940.50),
,,,,,,,,,,,,,,,,,,,,220.00,15.49,,0.00,,,(2.65),(2.65),
Account   100711693 - 100712890 Total : ,,,,,,,,,,,,,,,,,,1,,"78,100.00","5,500.00",,0.00,,,(940.50),(940.50),
,,,,,,,,,,,,,,,,,,,,220.00,15.49,,0.00,,,(2.65),(2.65),
Account Number : ,,,100711693 - 100712894,,,,,,,,,,,,,,,,,,,,,,,,,
,Agent Name : ,,,,FCMB - #028 - UYO - UYO BRANCH,,,,,,,,,,,,,,,,,,,,,,,
,Legacy ID : ,,,,654022,,,,,Store Number : ,,,,028,,,,,,,,,,,,,,
25/04/2019,,2186126077,,,,45744433,,MT,NGA,UKR,,.00281690141,,,,25/04/2019,,,trn,"205,000.00","9,500.00",,0.00,,,"-1,710.00",,"-1,710.00"
,,,,,,,,,,,,.00281690141,,,,25/04/2019,,,stl,577.46,26.76,,0.00,,,(4.82),,(4.82)
25/04/2019,,2186126077,,,,45744433,,MT,NGA,UKR,,.00281690141,,,,25/04/2019,,,trn,0.00,0.00,,0.00,,,85.50,mk,85.50
,,,,,,,,,,,,.00281690141,,,,25/04/2019,,,stl,0.00,0.00,,0.00,,,0.24,,0.24
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"205,000.00","9,500.00",,0.00,,,"-1,624.50","-1,624.50",
,,,,,,,,,,,,,,,,,,,,577.46,26.76,,0.00,,,(4.58),(4.58),
Account   100711693 - 100712894 Total : ,,,,,,,,,,,,,,,,,,1,,"205,000.00","9,500.00",,0.00,,,"-1,624.50","-1,624.50",
,,,,,,,,,,,,,,,,,,,,577.46,26.76,,0.00,,,(4.58),(4.58),
Account Number : ,,,100711693 - 100712900,,,,,,,,,,,,,,,,,,,,,,,,,
,Agent Name : ,,,,FCMB - #034 - AJAH - AJAH BRANCH,,,,,,,,,,,,,,,,,,,,,,,
,Legacy ID : ,,,,654028,,,,,Store Number : ,,,,034,,,,,,,,,,,,,,
15/04/2019,,2183078213,,,,87352671,,MT,NGA,HUN,,.79647887368,,,,15/04/2019,,,trn,"355,000.00","12,350.00",,0.00,,,"-2,223.00",,"-2,223.00"
,,,,,,,,,,,,.00281690141,,,,15/04/2019,,,stl,"1,000.00",34.79,,0.00,,,(6.26),,(6.26)
15/04/2019,,2183078213,,,,87352671,,MT,NGA,HUN,,.79647887368,,,,15/04/2019,,,trn,0.00,0.00,,0.00,,,111.15,mk,111.15
,,,,,,,,,,,,.00281690141,,,,15/04/2019,,,stl,0.00,0.00,,0.00,,,0.31,,0.31
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"355,000.00","12,350.00",,0.00,,,"-2,111.85","-2,111.85",
,,,,,,,,,,,,,,,,,,,,"1,000.00",34.79,,0.00,,,(5.95),(5.95),
16/04/2019,,2183404005,,,,15472268,,MT,NGA,ARE,,.01034591550,,,,16/04/2019,,,trn,"355,000.00","12,350.00",,0.00,,,"-2,223.00",,"-2,223.00"
,,,,,,,,,,,,.00281690141,,,,16/04/2019,,,stl,"1,000.00",34.79,,0.00,,,(6.26),,(6.26)
16/04/2019,,2183404005,,,,15472268,,MT,NGA,ARE,,.01034591550,,,,16/04/2019,,,trn,0.00,0.00,,0.00,,,111.15,mk,111.15
,,,,,,,,,,,,.00281690141,,,,16/04/2019,,,stl,0.00,0.00,,0.00,,,0.31,,0.31
16/04/2019,,2183407593,,,,94595579,,MT,NGA,ARE,,.01034591550,,,,16/04/2019,,,trn,"355,000.00","12,350.00",,0.00,,,"-2,223.00",,"-2,223.00"
,,,,,,,,,,,,.00281690141,,,,16/04/2019,,,stl,"1,000.00",34.79,,0.00,,,(6.26),,(6.26)
16/04/2019,,2183407593,,,,94595579,,MT,NGA,ARE,,.01034591550,,,,16/04/2019,,,trn,0.00,0.00,,0.00,,,111.15,mk,111.15
,,,,,,,,,,,,.00281690141,,,,16/04/2019,,,stl,0.00,0.00,,0.00,,,0.31,,0.31
16/04/2019,,2183411209,,,,85965008,,MT,NGA,ARE,,.01034591550,,,,16/04/2019,,,trn,"355,000.00","12,350.00",,0.00,,,"-2,223.00",,"-2,223.00"
,,,,,,,,,,,,.00281690141,,,,16/04/2019,,,stl,"1,000.00",34.79,,0.00,,,(6.26),,(6.26)
16/04/2019,,2183411209,,,,85965008,,MT,NGA,ARE,,.01034591550,,,,16/04/2019,,,trn,0.00,0.00,,0.00,,,111.15,mk,111.15
,,,,,,,,,,,,.00281690141,,,,16/04/2019,,,stl,0.00,0.00,,0.00,,,0.31,,0.31
Daily Total : ,,,,,,,,,,,,,,,,,,3,,"1,065,000.00","37,050.00",,0.00,,,"-6,335.55","-6,335.55",
,,,,,,,,,,,,,,,,,,,,"3,000.00",104.37,,0.00,,,(17.85),(17.85),
25/04/2019,,2186057257,,,,49586578,,MT,NGA,KEN,,.28577464804,,,,25/04/2019,,,trn,"35,500.00","3,800.00",,0.00,,,(684.00),,(684.00)
,,,,,,,,,,,,.00281690141,,,,25/04/2019,,,stl,100.00,10.70,,0.00,,,(1.93),,(1.93)
25/04/2019,,2186057257,,,,49586578,,MT,NGA,KEN,,.28577464804,,,,25/04/2019,,,trn,0.00,0.00,,0.00,,,34.20,mk,34.20
,,,,,,,,,,,,.00281690141,,,,25/04/2019,,,stl,0.00,0.00,,0.00,,,0.10,,0.10
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"35,500.00","3,800.00",,0.00,,,(649.80),(649.80),
,,,,,,,,,,,,,,,,,,,,100.00,10.70,,0.00,,,(1.83),(1.83),
Account   100711693 - 100712900 Total : ,,,,,,,,,,,,,,,,,,5,,"1,455,500.00","53,200.00",,0.00,,,"-9,097.20","-9,097.20",
,,,,,,,,,,,,,,,,,,,,"4,100.00",149.86,,0.00,,,(25.63),(25.63),
Account Number : ,,,100711693 - 100712901,,,,,,,,,,,,,,,,,,,,,,,,,
,Agent Name : ,,,,FCMB - #035 - MAKURDI - MAKURDI BRANCH,,,,,,,,,,,,,,,,,,,,,,,
,Legacy ID : ,,,,654029,,,,,Store Number : ,,,,035,,,,,,,,,,,,,,
01/04/2019,,2178243867,,,,30297289,,MT,NGA,HUN,,.80377464833,,,,01/04/2019,,,trn,"355,000.00","12,350.00",,0.00,,,"-2,223.00",,"-2,223.00"
,,,,,,,,,,,,.00281690141,,,,01/04/2019,,,stl,"1,000.00",34.79,,0.00,,,(6.26),,(6.26)
01/04/2019,,2178243867,,,,30297289,,MT,NGA,HUN,,.80377464833,,,,01/04/2019,,,trn,0.00,0.00,,0.00,,,111.15,mk,111.15
,,,,,,,,,,,,.00281690141,,,,01/04/2019,,,stl,0.00,0.00,,0.00,,,0.31,,0.31
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"355,000.00","12,350.00",,0.00,,,"-2,111.85","-2,111.85",
,,,,,,,,,,,,,,,,,,,,"1,000.00",34.79,,0.00,,,(5.95),(5.95),
Account   100711693 - 100712901 Total : ,,,,,,,,,,,,,,,,,,1,,"355,000.00","12,350.00",,0.00,,,"-2,111.85","-2,111.85",
,,,,,,,,,,,,,,,,,,,,"1,000.00",34.79,,0.00,,,(5.95),(5.95),
Account Number : ,,,100711693 - 100712904,,,,,,,,,,,,,,,,,,,,,,,,,
,Agent Name : ,,,,FCMB - #038 - CALABAR - CALABAR BRANCH,,,,,,,,,,,,,,,,,,,,,,,
,Legacy ID : ,,,,654032,,,,,Store Number : ,,,,038,,,,,,,,,,,,,,
08/04/2019,,2180744279,,,,81258880,,MT,NGA,IND,,.19566901419,,,,08/04/2019,,,trn,"292,875.00","12,350.00",,0.00,,,"-2,223.00",,"-2,223.00"
,,,,,,,,,,,,.00281690141,,,,08/04/2019,,,stl,825.00,34.79,,0.00,,,(6.26),,(6.26)
08/04/2019,,2180744279,,,,81258880,,MT,NGA,IND,,.19566901419,,,,08/04/2019,,,trn,0.00,0.00,,0.00,,,111.15,mk,111.15
,,,,,,,,,,,,.00281690141,,,,08/04/2019,,,stl,0.00,0.00,,0.00,,,0.31,,0.31
08/04/2019,,2180863848,,,,90950704,,MT,NGA,ZWE,,.00281690141,,,,08/04/2019,,,trn,"20,000.00","3,800.00",,0.00,,,(684.00),,(684.00)
,,,,,,,,,,,,.00281690141,,,,08/04/2019,,,stl,56.34,10.70,,0.00,,,(1.93),,(1.93)
08/04/2019,,2180863848,,,,90950704,,MT,NGA,ZWE,,.00281690141,,,,08/04/2019,,,trn,0.00,0.00,,0.00,,,34.20,mk,34.20
,,,,,,,,,,,,.00281690141,,,,08/04/2019,,,stl,0.00,0.00,,0.00,,,0.10,,0.10
Daily Total : ,,,,,,,,,,,,,,,,,,2,,"312,875.00","16,150.00",,0.00,,,"-2,761.65","-2,761.65",
,,,,,,,,,,,,,,,,,,,,881.34,45.49,,0.00,,,(7.78),(7.78),
10/04/2019,,2181474951,,,,59038140,,MT,NGA,IND,,.19481690152,,,,10/04/2019,,,trn,"115,375.00","6,800.00",,0.00,,,"-1,224.00",,"-1,224.00"
,,,,,,,,,,,,.00281690141,,,,10/04/2019,,,stl,325.00,19.15,,0.00,,,(3.45),,(3.45)
10/04/2019,,2181474951,,,,59038140,,MT,NGA,IND,,.19481690152,,,,10/04/2019,,,trn,0.00,0.00,,0.00,,,61.20,mk,61.20
,,,,,,,,,,,,.00281690141,,,,10/04/2019,,,stl,0.00,0.00,,0.00,,,0.17,,0.17
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"115,375.00","6,800.00",,0.00,,,"-1,162.80","-1,162.80",
,,,,,,,,,,,,,,,,,,,,325.00,19.15,,0.00,,,(3.28),(3.28),
24/04/2019,,2185719101,,,,61752001,,MT,NGA,TZA,,6.47887324300,,,,24/04/2019,,,trn,"70,000.00","5,500.00",,0.00,,,(990.00),,(990.00)
,,,,,,,,,,,,.00281690141,,,,24/04/2019,,,stl,197.18,15.49,,0.00,,,(2.79),,(2.79)
24/04/2019,,2185719101,,,,61752001,,MT,NGA,TZA,,6.47887324300,,,,24/04/2019,,,trn,0.00,0.00,,0.00,,,49.50,mk,49.50
,,,,,,,,,,,,.00281690141,,,,24/04/2019,,,stl,0.00,0.00,,0.00,,,0.14,,0.14
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"70,000.00","5,500.00",,0.00,,,(940.50),(940.50),
,,,,,,,,,,,,,,,,,,,,197.18,15.49,,0.00,,,(2.65),(2.65),
Account   100711693 - 100712904 Total : ,,,,,,,,,,,,,,,,,,4,,"498,250.00","28,450.00",,0.00,,,"-4,864.95","-4,864.95",
,,,,,,,,,,,,,,,,,,,,"1,403.52",80.13,,0.00,,,(13.71),(13.71),
Account Number : ,,,100711693 - 100712906,,,,,,,,,,,,,,,,,,,,,,,,,
,Agent Name : ,,,,FCMB - #040 - EKET - EKET BRANCH,,,,,,,,,,,,,,,,,,,,,,,
,Legacy ID : ,,,,654034,,,,,Store Number : ,,,,040,,,,,,,,,,,,,,
05/04/2019,,2179804252,,,,17806545,,MT,NGA,CMR,,1.64567724183,,,,05/04/2019,,,trn,"6,500.00","1,500.00",,0.00,,,(270.00),,(270.00)
,,,,,,,,,,,,.00281690141,,,,05/04/2019,,,stl,18.31,4.23,,0.00,,,(0.76),,(0.76)
05/04/2019,,2179804252,,,,17806545,,MT,NGA,CMR,,1.64567724183,,,,05/04/2019,,,trn,0.00,0.00,,0.00,,,13.50,mk,13.50
,,,,,,,,,,,,.00281690141,,,,05/04/2019,,,stl,0.00,0.00,,0.00,,,0.04,,0.04
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"6,500.00","1,500.00",,0.00,,,(256.50),(256.50),
,,,,,,,,,,,,,,,,,,,,18.31,4.23,,0.00,,,(0.72),(0.72),
09/04/2019,,2181163933,,,,65947563,,MT,NGA,CAN,,.00374704226,,,,09/04/2019,,,trn,"50,000.00","5,500.00",,0.00,,,(990.00),,(990.00)
,,,,,,,,,,,,.00281690141,,,,09/04/2019,,,stl,140.85,15.49,,0.00,,,(2.79),,(2.79)
09/04/2019,,2181163933,,,,65947563,,MT,NGA,CAN,,.00374704226,,,,09/04/2019,,,trn,0.00,0.00,,0.00,,,49.50,mk,49.50
,,,,,,,,,,,,.00281690141,,,,09/04/2019,,,stl,0.00,0.00,,0.00,,,0.14,,0.14
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"50,000.00","5,500.00",,0.00,,,(940.50),(940.50),
,,,,,,,,,,,,,,,,,,,,140.85,15.49,,0.00,,,(2.65),(2.65),
26/04/2019,,2186411991,,,,65600176,,MT,NGA,CAN,,.00380140845,,,,26/04/2019,,,trn,"300,000.00","12,350.00",,0.00,,,"-2,223.00",,"-2,223.00"
,,,,,,,,,,,,.00281690141,,,,26/04/2019,,,stl,845.07,34.79,,0.00,,,(6.26),,(6.26)
26/04/2019,,2186411991,,,,65600176,,MT,NGA,CAN,,.00380140845,,,,26/04/2019,,,trn,0.00,0.00,,0.00,,,111.15,mk,111.15
,,,,,,,,,,,,.00281690141,,,,26/04/2019,,,stl,0.00,0.00,,0.00,,,0.31,,0.31
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"300,000.00","12,350.00",,0.00,,,"-2,111.85","-2,111.85",
,,,,,,,,,,,,,,,,,,,,845.07,34.79,,0.00,,,(5.95),(5.95),
Account   100711693 - 100712906 Total : ,,,,,,,,,,,,,,,,,,3,,"356,500.00","19,350.00",,0.00,,,"-3,308.85","-3,308.85",
,,,,,,,,,,,,,,,,,,,,"1,004.23",54.51,,0.00,,,(9.32),(9.32),
Account Number : ,,,100711693 - 100712909,,,,,,,,,,,,,,,,,,,,,,,,,
,Agent Name : ,,,,FCMB - #043 - PORTHARCOURT - GARRISON BRANCH,,,,,,,,,,,,,,,,,,,,,,,
,Legacy ID : ,,,,654037,,,,,Store Number : ,,,,043,,,,,,,,,,,,,,
02/04/2019,,2178665302,,,,80845684,,MT,NGA,LCA,,.00757239437,,,,02/04/2019,,,trn,"355,000.00","12,350.00",,0.00,,,"-2,223.00",,"-2,223.00"
,,,,,,,,,,,,.00281690141,,,,02/04/2019,,,stl,"1,000.00",34.79,,0.00,,,(6.26),,(6.26)
02/04/2019,,2178665302,,,,80845684,,MT,NGA,LCA,,.00757239437,,,,02/04/2019,,,trn,0.00,0.00,,0.00,,,111.15,mk,111.15
,,,,,,,,,,,,.00281690141,,,,02/04/2019,,,stl,0.00,0.00,,0.00,,,0.31,,0.31
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"355,000.00","12,350.00",,0.00,,,"-2,111.85","-2,111.85",
,,,,,,,,,,,,,,,,,,,,"1,000.00",34.79,,0.00,,,(5.95),(5.95),
04/04/2019,,2179407848,,,,50781975,,MT,NGA,ARM,,.00281690141,,,,04/04/2019,,,trn,"355,000.00","12,350.00",,0.00,,,"-2,223.00",,"-2,223.00"
,,,,,,,,,,,,.00281690141,,,,04/04/2019,,,stl,"1,000.00",34.79,,0.00,,,(6.26),,(6.26)
04/04/2019,,2179407848,,,,50781975,,MT,NGA,ARM,,.00281690141,,,,04/04/2019,,,trn,0.00,0.00,,0.00,,,111.15,mk,111.15
,,,,,,,,,,,,.00281690141,,,,04/04/2019,,,stl,0.00,0.00,,0.00,,,0.31,,0.31
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"355,000.00","12,350.00",,0.00,,,"-2,111.85","-2,111.85",
,,,,,,,,,,,,,,,,,,,,"1,000.00",34.79,,0.00,,,(5.95),(5.95),
05/04/2019,,2179784784,,,,35704986,,MT,NGA,RUS,,.00281690141,,,,05/04/2019,,,trn,"355,000.00","12,350.00",,0.00,,,"-2,223.00",,"-2,223.00"
,,,,,,,,,,,,.00281690141,,,,05/04/2019,,,stl,"1,000.00",34.79,,0.00,,,(6.26),,(6.26)
05/04/2019,,2179784784,,,,35704986,,MT,NGA,RUS,,.00281690141,,,,05/04/2019,,,trn,0.00,0.00,,0.00,,,111.15,mk,111.15
,,,,,,,,,,,,.00281690141,,,,05/04/2019,,,stl,0.00,0.00,,0.00,,,0.31,,0.31
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"355,000.00","12,350.00",,0.00,,,"-2,111.85","-2,111.85",
,,,,,,,,,,,,,,,,,,,,"1,000.00",34.79,,0.00,,,(5.95),(5.95),
10/04/2019,,2181492382,,,,15947087,,MT,NGA,CYP,,.00215441790,,,,10/04/2019,,,trn,"355,000.00","12,350.00",,0.00,,,"-2,223.00",,"-2,223.00"
,,,,,,,,,,,,.00281690141,,,,10/04/2019,,,stl,"1,000.00",34.79,,0.00,,,(6.26),,(6.26)
10/04/2019,,2181492382,,,,15947087,,MT,NGA,CYP,,.00215441790,,,,10/04/2019,,,trn,0.00,0.00,,0.00,,,111.15,mk,111.15
,,,,,,,,,,,,.00281690141,,,,10/04/2019,,,stl,0.00,0.00,,0.00,,,0.31,,0.31
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"355,000.00","12,350.00",,0.00,,,"-2,111.85","-2,111.85",
,,,,,,,,,,,,,,,,,,,,"1,000.00",34.79,,0.00,,,(5.95),(5.95),
26/04/2019,,2186348419,,,,81633474,,MT,NGA,BLR,,.00281690141,,,,26/04/2019,,,trn,"355,000.00","12,350.00",,0.00,,,"-2,223.00",,"-2,223.00"
,,,,,,,,,,,,.00281690141,,,,26/04/2019,,,stl,"1,000.00",34.79,,0.00,,,(6.26),,(6.26)
26/04/2019,,2186348419,,,,81633474,,MT,NGA,BLR,,.00281690141,,,,26/04/2019,,,trn,0.00,0.00,,0.00,,,111.15,mk,111.15
,,,,,,,,,,,,.00281690141,,,,26/04/2019,,,stl,0.00,0.00,,0.00,,,0.31,,0.31
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"355,000.00","12,350.00",,0.00,,,"-2,111.85","-2,111.85",
,,,,,,,,,,,,,,,,,,,,"1,000.00",34.79,,0.00,,,(5.95),(5.95),
Account   100711693 - 100712909 Total : ,,,,,,,,,,,,,,,,,,5,,"1,775,000.00","61,750.00",,0.00,,,"-10,559.25","-10,559.25",
,,,,,,,,,,,,,,,,,,,,"5,000.00",173.95,,0.00,,,(29.75),(29.75),
Account Number : ,,,100711693 - 100712914,,,,,,,,,,,,,,,,,,,,,,,,,
,Agent Name : ,,,,FCMB - #048 - KADUNA - KADUNA BRANCH,,,,,,,,,,,,,,,,,,,,,,,
,Legacy ID : ,,,,654042,,,,,Store Number : ,,,,048,,,,,,,,,,,,,,
15/04/2019,,2183113416,,,,27274828,,MT,NGA,KEN,,.28430985931,,,,15/04/2019,,,trn,"3,000.00","1,500.00",,0.00,,,(270.00),,(270.00)
,,,,,,,,,,,,.00281690141,,,,15/04/2019,,,stl,8.45,4.23,,0.00,,,(0.76),,(0.76)
15/04/2019,,2183113416,,,,27274828,,MT,NGA,KEN,,.28430985931,,,,15/04/2019,,,trn,0.00,0.00,,0.00,,,13.50,mk,13.50
,,,,,,,,,,,,.00281690141,,,,15/04/2019,,,stl,0.00,0.00,,0.00,,,0.04,,0.04
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"3,000.00","1,500.00",,0.00,,,(256.50),(256.50),
,,,,,,,,,,,,,,,,,,,,8.45,4.23,,0.00,,,(0.72),(0.72),
Account   100711693 - 100712914 Total : ,,,,,,,,,,,,,,,,,,1,,"3,000.00","1,500.00",,0.00,,,(256.50),(256.50),
,,,,,,,,,,,,,,,,,,,,8.45,4.23,,0.00,,,(0.72),(0.72),
Account Number : ,,,100711693 - 100712916,,,,,,,,,,,,,,,,,,,,,,,,,
