EntryID	setDateUSYear	setDateUSMonth	setDateUSDay	setDateLOCYear	setDateLOCMonth	setDateLOCDay	RepDateYear	RepDateMonth	RepDateDay	Direction	Account	LocationName	Location_ID	Status	LOCCurrencyCode	ShareOfChargesUSD	ShareOfFXUSD	ShareOfChargesLOC	ShareOfFXLOC	SubAgentCommFXUSD	SubAgentCommChargesUSD	SubAgentCommFXLOC	SubAgentCommChargesLOC	SendPayIndicator	MTCN
796344	2019	8	27	2019	8	27	2019	8	27	I	ADH152142	FCMB - #063 - IKOT EKPENE - IKOT EKPENE	271	S	NGN	1.8	0	639	0	0	0	0	0	P	4368943110
796316	2019	8	27	2019	8	27	2019	8	27	I	ADH151196	FCMB - #114 - AGEGE - AGEGE BRANCH	140	S	NGN	2.52	0	894.6	0	0	0	0	0	P	2598417732
796258	2019	8	27	2019	8	27	2019	8	27	O	ADH150623	FCMB - #072 - Warri Effurun	96	S	NGN	2.79	0	991.5	1.4	0	0	0	0	S	7611556235
796381	2019	8	27	2019	8	27	2019	8	27	I	ADH152670	FCMB - #163 - BADAGRY - OJO ALABA BRANCH	250	S	NGN	1.8	0	639	0	0	0	0	0	P	2866712521
796257	2019	8	27	2019	8	27	2019	8	27	I	ADH150579	FCMB - #068 - OSHOGBO - OSOGBO BRANCH	80	S	NGN	0.9	0	319.5	0	0	0	0	0	P	3971595808
796293	2019	8	27	2019	8	27	2019	8	27	I	ADH150898	FCMB - #087 - MATORI - MATORI BRANCH	112	S	NGN	0	0	0	0	0	0	0	0	P	5811908226
796228	2019	8	27	2019	8	27	2019	8	27	O	ADH150458	FCMB - #040 - EKET - EKET BRANCH	90	S	NGN	6.34	0	2251.15	-1.65	0	0	0	0	S	5801696072
796384	2019	8	27	2019	8	27	2019	8	27	I	ADH152670	FCMB - #163 - BADAGRY - OJO ALABA BRANCH	250	S	NGN	1.17	0	415.35	0	0	0	0	0	P	5831404224
796349	2019	8	27	2019	8	27	2019	8	27	I	ADH152175	FCMB - #234 - WARRI - WARRI AIRPORT ROAD	191	S	NGN	0.04	0	14.2	0	0	0	0	0	P	8685886641
796221	2019	8	27	2019	8	27	2019	8	27	I	ADH150403	FCMB - #042 - UYO - ORON ROAD BRANCH UYO	88	S	NGN	1.8	0	639	0	0	0	0	0	P	1185344332
796213	2019	8	27	2019	8	27	2019	8	27	I	ADH150294	FCMB - #047 -  YENEGOA BRANCH	68	S	NGN	0.7	0	248.5	0	0	0	0	0	P	2155684571
796280	2019	8	27	2019	8	27	2019	8	27	I	ADH150821	FCMB - #078 - UMUAHIA - UMUAHIA BRANCH	110	S	NGN	0.73	0	259.15	0	0	0	0	0	P	1015917414
796370	2019	8	27	2019	8	27	2019	8	27	I	ADH152472	FCMB - #148 - IBADAN - CHALLENGE BRANCH	203	S	NGN	1.8	0	639	0	0	0	0	0	P	5230578353
796373	2019	8	27	2019	8	27	2019	8	27	I	ADH152472	FCMB - #148 - IBADAN - CHALLENGE BRANCH	203	S	NGN	2.7	0	958.5	0	0	0	0	0	P	9500749733
796309	2019	8	27	2019	8	27	2019	8	27	I	ADH151031	FCMB - #094 - AKWA - AWKA BRANCH	124	S	NGN	4.58	0	1625.9	0	0	0	0	0	P	5655599862
796227	2019	8	27	2019	8	27	2019	8	27	O	ADH150458	FCMB - #040 - EKET - EKET BRANCH	90	S	NGN	6.34	0	2251.15	-1.25	0	0	0	0	S	4230482177
796403	2019	8	27	2019	8	27	2019	8	27	I	ADH153154	UNKNOWN	-1	S	NGN	0.54	0	191.7	0	0	0	0	0	P	3375594638
796405	2019	8	27	2019	8	27	2019	8	27	I	ADH153154	UNKNOWN	-1	S	NGN	1.8	0	639	0	0	0	0	0	P	5212789198
796319	2019	8	27	2019	8	27	2019	8	27	I	ADH151196	FCMB - #114 - AGEGE - AGEGE BRANCH	140	S	NGN	1.26	0	447.3	0	0	0	0	0	P	6944913801
796242	2019	8	27	2019	8	27	2019	8	27	I	ADH150524	FCMB - #033 - OTA - OTTA BRANCH	58	S	NGN	2	0	710	0	0	0	0	0	P	1745033582
796238	2019	8	27	2019	8	27	2019	8	27	I	ADH150513	FCMB - #029 - IBADAN - IBADAN BRANCH	47	S	NGN	1.8	0	639	0	0	0	0	0	P	9851830620
796211	2019	8	27	2019	8	27	2019	8	27	I	ADH150283	FCMB - #003 - PORTHARCOURT MAIN	17	S	NGN	1.8	0	639	0	0	0	0	0	P	2134830477
796414	2019	8	27	2019	8	27	2019	8	27	I	ADH471010	UNKNOWN	-1	S	NGN	0.54	0	191.7	0	0	0	0	0	P	6500852693
796254	2019	8	27	2019	8	27	2019	8	27	I	ADH150579	FCMB - #068 - OSHOGBO - OSOGBO BRANCH	80	S	NGN	1.05	0	372.75	0	0	0	0	0	P	5634147285
796367	2019	8	27	2019	8	27	2019	8	27	I	ADH152351	FCMB - #241 - OWERRI - OWERRI 2 BRANCH	199	S	NGN	1.18	0	418.9	0	0	0	0	0	P	2160587135
796322	2019	8	27	2019	8	27	2019	8	27	I	ADH151327	FCMB - #122 - OJOO - OJOO BRANCH	159	S	NGN	1.9	0	674.5	0	0	0	0	0	P	2046711789
796413	2019	8	27	2019	8	27	2019	8	27	I	ADH471010	UNKNOWN	-1	S	NGN	0.49	0	173.95	0	0	0	0	0	P	5658599553
796380	2019	8	27	2019	8	27	2019	8	27	I	ADH152670	FCMB - #163 - BADAGRY - OJO ALABA BRANCH	250	S	NGN	0.9	0	319.5	0	0	0	0	0	P	1836784205
796376	2019	8	27	2019	8	27	2019	8	27	I	ADH152571	FCMB - #279 - AKURE OSHINLE	269	S	NGN	1.8	0	639	0	0	0	0	0	P	5406032602
796303	2019	8	27	2019	8	27	2019	8	27	I	ADH150931	FCMB - #086 - BENIN CITY - UGBOWO BRANCH	111	S	NGN	0.45	0	159.75	0	0	0	0	0	P	8166463876
796216	2019	8	27	2019	8	27	2019	8	27	I	ADH150326	FCMB - #057 - ENUGU - ENUGU BRANCH	35	S	NGN	1.08	0	383.4	0	0	0	0	0	P	8413756812
796253	2019	8	27	2019	8	27	2019	8	27	O	ADH150579	FCMB - #068 - OSHOGBO - OSOGBO BRANCH	80	S	NGN	2.79	0	991.5	-1.4	0	0	0	0	S	5607236451
796223	2019	8	27	2019	8	27	2019	8	27	I	ADH150403	FCMB - #042 - UYO - ORON ROAD BRANCH UYO	88	S	NGN	2	0	710	0	0	0	0	0	P	2462209186
796400	2019	8	27	2019	8	27	2019	8	27	O	ADH153033	FCMB - #265 - AGBANI TOWN - AGBANI TOWN	284	S	NGN	2.79	0	991.5	0.9	0	0	0	0	S	9082623510
796297	2019	8	27	2019	8	27	2019	8	27	I	ADH150919	FCMB - #091 - OKOTA - OKOTA BRANCH	116	S	NGN	5.41	0	1920.55	0	0	0	0	0	P	3723171970
796291	2019	8	27	2019	8	27	2019	8	27	I	ADH150898	FCMB - #087 - MATORI - MATORI BRANCH	112	S	NGN	1.44	0	511.2	0	0	0	0	0	P	0562259474
796250	2019	8	27	2019	8	27	2019	8	27	I	ADH150546	FCMB - #050 - ADO EKITI - ADO-EKITI BRAN	86	S	NGN	1.8	0	639	0	0	0	0	0	P	2896053044
796306	2019	8	27	2019	8	27	2019	8	27	I	ADH150986	FCMB - #095 - LEKKI - LEKKI 2 BRANCH	123	S	NGN	0.54	0	191.7	0	0	0	0	0	P	4766623504
796208	2019	8	27	2019	8	27	2019	8	27	I	ADH150205	FCMB - #030 - LAGOS  - ALAGBADO BRANCH	51	S	NGN	1.2	0	426	0	0	0	0	0	P	2588170580
796301	2019	8	27	2019	8	27	2019	8	27	I	ADH150931	FCMB - #086 - BENIN CITY - UGBOWO BRANCH	111	S	NGN	0.98	0	347.9	0	0	0	0	0	P	7292604618
