PRIMROSE TOWER 17A TINIBU STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAGOS, Lagos",,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Send  Activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Settlement Currency : ,,,,USD,,,Transaction Currency : ,,,,,,NGN,,,,,,,,,,,,,,,
,,,,,,,,,Orig,Rcv,,,,,,,FX,,,,,,,Fx Rev,,,,
Tran Date,,Tran Id,,,,Ref #,,Prod,Cntry,Cntry,,FX Rate,,,,FX Date,Margin,,,Base Amt,Fee Amt,,,Share Amt,Commission Amt,,,Total
,,,,,,,,,,,,,,,,,,,,"(10,316.74)",0.00,,(42.38),,,(79.86),(122.24),
Account Number : ,,,100711693 - 100712856,,,,,,,,,,,,,,,,,,,,,,,,,
,Agent Name : ,,,,FCMB - #009 - BENIN CITY - BENIN BRANCH,,,,,,,,,,,,,,,,,,,,,,,
,Legacy ID : ,,,,654004,,,,,Store Number : ,,,,009,,,,,,,,,,,,,,
12/2/2019,,2255906342,,,,98280247,,MT,CAN,NGA,,267.07794161805,,,,11/30/2019,0.30,,trn,"(41,272.89)","2,670.78",,(24.84),,,(480.74),,(505.58)
,,,,,,,,,,,,.00281690141,,,,12/2/2019,,,stl,(116.26),0.00,,(0.07),,,(1.35),,(1.42)
12/2/2019,,2255906342,,,,98280247,,MT,CAN,NGA,,267.07794161805,,,,11/30/2019,0.30,,trn,0.00,0.00,,0.00,,,24.04,mk,24.04
,,,,,,,,,,,,.00281690141,,,,12/2/2019,,,stl,0.00,0.00,,0.00,,,0.07,,0.07
12/2/2019,,2255985226,,,,58384667,,MT,USA,NGA,,355.00000000000,,,,11/30/2019,1.25,,trn,"(52,584.38)","3,546.45",,(133.13),,,(638.36),,(771.49)
,,,,,,,,,,,,.00281690141,,,,12/2/2019,,,stl,(148.13),0.00,,(0.38),,,(1.80),,(2.18)
12/2/2019,,2255985226,,,,58384667,,MT,USA,NGA,,355.00000000000,,,,11/30/2019,1.25,,trn,0.00,0.00,,0.00,,,31.92,mk,31.92
,,,,,,,,,,,,.00281690141,,,,12/2/2019,,,stl,0.00,0.00,,0.00,,,0.09,,0.09
12/2/2019,,2255985226,,,,58384667,,MT,USA,NGA,,355.00000000000,,,,11/30/2019,1.25,,trn,0.00,0.00,,0.00,,,6.66,mk,6.66
,,,,,,,,,,,,.00281690141,,,,12/2/2019,,,stl,0.00,0.00,,0.00,,,0.02,,0.02
Daily Total : ,,,,,,,,,,,,,,,,,,2,,"(93,857.27)","6,217.23",,(157.97),,,"(1,056.48)","(1,214.45)",
,,,,,,,,,,,,,,,,,,,,(264.39),0.00,,(0.45),,,(2.97),(3.42),
12/3/2019,,2256369998,,,,79724320,,MT,FRA,NGA,,391.24550000000,,,,12/2/2019,0.50,,trn,"(80,002.84)","5,477.44",,(80.40),,,(985.94),,"(1,066.34)"
,,,,,,,,,,,,.00281690141,,,,12/3/2019,,,stl,(225.36),0.00,,(0.23),,,(2.78),,(3.01)
12/3/2019,,2256369998,,,,79724320,,MT,FRA,NGA,,391.24550000000,,,,12/2/2019,0.50,,trn,0.00,0.00,,0.00,,,49.30,mk,49.30
,,,,,,,,,,,,.00281690141,,,,12/3/2019,,,stl,0.00,0.00,,0.00,,,0.14,,0.14
12/3/2019,,2256369998,,,,79724320,,MT,FRA,NGA,,391.24550000000,,,,12/2/2019,0.50,,trn,0.00,0.00,,0.00,,,4.02,mk,4.02
,,,,,,,,,,,,.00281690141,,,,12/3/2019,,,stl,0.00,0.00,,0.00,,,0.01,,0.01
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"(80,002.84)","5,477.44",,(80.40),,,(932.62),"(1,013.02)",
,,,,,,,,,,,,,,,,,,,,(225.36),0.00,,(0.23),,,(2.63),(2.86),
12/4/2019,,2256728435,,,,36988337,,MT,KOR,NGA,,355.00000000000,,,,12/2/2019,6.00,,trn,"(50,055.00)","7,100.00",,(639.00),,,"(1,278.00)",,"(1,917.00)"
,,,,,,,,,,,,.00281690141,,,,12/4/2019,,,stl,(141.00),0.00,,(1.80),,,(3.60),,(5.40)
12/4/2019,,2256728435,,,,36988337,,MT,KOR,NGA,,355.00000000000,,,,12/2/2019,6.00,,trn,0.00,0.00,,0.00,,,63.90,mk,63.90
,,,,,,,,,,,,.00281690141,,,,12/4/2019,,,stl,0.00,0.00,,0.00,,,0.18,,0.18
12/4/2019,,2256728435,,,,36988337,,MT,KOR,NGA,,355.00000000000,,,,12/2/2019,6.00,,trn,0.00,0.00,,0.00,,,31.95,mk,31.95
,,,,,,,,,,,,.00281690141,,,,12/4/2019,,,stl,0.00,0.00,,0.00,,,0.09,,0.09
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"(50,055.00)","7,100.00",,(639.00),,,"(1,182.15)","(1,821.15)",
,,,,,,,,,,,,,,,,,,,,(141.00),0.00,,(1.80),,,(3.33),(5.13),
12/5/2019,,2257006256,,,,71585821,,MT,USA,NGA,,355.00000000000,,,,12/3/2019,0.45,,trn,"(17,670.13)","1,420.00",,(15.98),,,(255.60),,(271.58)
,,,,,,,,,,,,.00281690141,,,,12/5/2019,,,stl,(49.78),0.00,,(0.05),,,(0.72),,(0.77)
12/5/2019,,2257006256,,,,71585821,,MT,USA,NGA,,355.00000000000,,,,12/3/2019,0.45,,trn,0.00,0.00,,0.00,,,12.78,mk,12.78
,,,,,,,,,,,,.00281690141,,,,12/5/2019,,,stl,0.00,0.00,,0.00,,,0.04,,0.04
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"(17,670.13)","1,420.00",,(15.98),,,(242.82),(258.80),
,,,,,,,,,,,,,,,,,,,,(49.78),0.00,,(0.05),,,(0.68),(0.73),
12/6/2019,,2256350065,,,,47471099,,MT,DEU,NGA,,391.24550000000,,,,12/2/2019,3.39,,trn,"(377,982.28)","1,561.07",,"(2,652.64)",,,(280.99),,"(2,933.63)"
,,,,,,,,,,,,.00281690141,,,,12/6/2019,,,stl,"(1,064.74)",0.00,,(7.47),,,(0.79),,(8.26)
12/6/2019,,2256350065,,,,47471099,,MT,DEU,NGA,,391.24550000000,,,,12/2/2019,3.39,,trn,0.00,0.00,,0.00,,,14.05,mk,14.05
,,,,,,,,,,,,.00281690141,,,,12/6/2019,,,stl,0.00,0.00,,0.00,,,0.04,,0.04
12/6/2019,,2256350065,,,,47471099,,MT,DEU,NGA,,391.24550000000,,,,12/2/2019,3.39,,trn,0.00,0.00,,0.00,,,132.63,mk,132.63
,,,,,,,,,,,,.00281690141,,,,12/6/2019,,,stl,0.00,0.00,,0.00,,,0.37,,0.37
12/6/2019,,2256804869,,,,77202339,,MT,DEU,NGA,,393.05600000000,,,,12/3/2019,2.70,,trn,"(764,886.98)","1,253.85",,"(4,245.00)",,,(225.69),,"(4,470.69)"
,,,,,,,,,,,,.00281690141,,,,12/6/2019,,,stl,"(2,154.61)",0.00,,(11.96),,,(0.64),,(12.60)
12/6/2019,,2256804869,,,,77202339,,MT,DEU,NGA,,393.05600000000,,,,12/3/2019,2.70,,trn,0.00,0.00,,0.00,,,11.28,mk,11.28
,,,,,,,,,,,,.00281690141,,,,12/6/2019,,,stl,0.00,0.00,,0.00,,,0.03,,0.03
12/6/2019,,2256804869,,,,77202339,,MT,DEU,NGA,,393.05600000000,,,,12/3/2019,2.70,,trn,0.00,0.00,,0.00,,,212.25,mk,212.25
,,,,,,,,,,,,.00281690141,,,,12/6/2019,,,stl,0.00,0.00,,0.00,,,0.60,,0.60
Daily Total : ,,,,,,,,,,,,,,,,,,2,,"(1,142,869.26)","2,814.92",,"(6,897.64)",,,(136.47),"(7,034.11)",
,,,,,,,,,,,,,,,,,,,,"(3,219.35)",0.00,,(19.43),,,(0.39),(19.82),
12/10/2019,,2258897828,,,,41391322,,MT,FRA,NGA,,392.98500000000,,,,12/9/2019,0.50,,trn,"(10,002.29)","1,532.64",,(10.05),,,(275.88),,(285.93)
,,,,,,,,,,,,.00281690141,,,,12/10/2019,,,stl,(28.18),0.00,,(0.03),,,(0.78),,(0.81)
12/10/2019,,2258897828,,,,41391322,,MT,FRA,NGA,,392.98500000000,,,,12/9/2019,0.50,,trn,0.00,0.00,,0.00,,,13.79,mk,13.79
,,,,,,,,,,,,.00281690141,,,,12/10/2019,,,stl,0.00,0.00,,0.00,,,0.04,,0.04
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"(10,002.29)","1,532.64",,(10.05),,,(262.09),(272.14),
,,,,,,,,,,,,,,,,,,,,(28.18),0.00,,(0.03),,,(0.74),(0.77),
12/11/2019,,2258689540,,,,67155649,,MT,KOR,NGA,,355.00000000000,,,,12/8/2019,6.00,,trn,"(66,740.00)","7,100.00",,(852.00),,,"(1,278.00)",,"(2,130.00)"
,,,,,,,,,,,,.00281690141,,,,12/11/2019,,,stl,(188.00),0.00,,(2.40),,,(3.60),,(6.00)
12/11/2019,,2258689540,,,,67155649,,MT,KOR,NGA,,355.00000000000,,,,12/8/2019,6.00,,trn,0.00,0.00,,0.00,,,63.90,mk,63.90
,,,,,,,,,,,,.00281690141,,,,12/11/2019,,,stl,0.00,0.00,,0.00,,,0.18,,0.18
12/11/2019,,2258689540,,,,67155649,,MT,KOR,NGA,,355.00000000000,,,,12/8/2019,6.00,,trn,0.00,0.00,,0.00,,,42.60,mk,42.60
,,,,,,,,,,,,.00281690141,,,,12/11/2019,,,stl,0.00,0.00,,0.00,,,0.12,,0.12
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"(66,740.00)","7,100.00",,(852.00),,,"(1,171.50)","(2,023.50)",
,,,,,,,,,,,,,,,,,,,,(188.00),0.00,,(2.40),,,(3.30),(5.70),
12/12/2019,,2259236372,,,,61414018,,MT,FRA,NGA,,393.16250000000,,,,12/10/2019,0.50,,trn,"(130,268.50)","6,683.76",,(130.92),,,"(1,203.08)",,"(1,334.00)"
,,,,,,,,,,,,.00281690141,,,,12/12/2019,,,stl,(366.95),0.00,,(0.37),,,(3.39),,(3.76)
12/12/2019,,2259236372,,,,61414018,,MT,FRA,NGA,,393.16250000000,,,,12/10/2019,0.50,,trn,0.00,0.00,,0.00,,,60.15,mk,60.15
,,,,,,,,,,,,.00281690141,,,,12/12/2019,,,stl,0.00,0.00,,0.00,,,0.17,,0.17
12/12/2019,,2259236372,,,,61414018,,MT,FRA,NGA,,393.16250000000,,,,12/10/2019,0.50,,trn,0.00,0.00,,0.00,,,6.55,mk,6.55
,,,,,,,,,,,,.00281690141,,,,12/12/2019,,,stl,0.00,0.00,,0.00,,,0.02,,0.02
12/12/2019,,2259448940,,,,52035299,,MT,AUT,NGA,,393.80150000000,,,,12/11/2019,0.85,,trn,"(39,045.42)","3,150.41",,(66.95),,,(567.07),,(634.02)
,,,,,,,,,,,,.00281690141,,,,12/12/2019,,,stl,(109.99),0.00,,(0.19),,,(1.60),,(1.79)
12/12/2019,,2259448940,,,,52035299,,MT,AUT,NGA,,393.80150000000,,,,12/11/2019,0.85,,trn,0.00,0.00,,0.00,,,28.35,mk,28.35
,,,,,,,,,,,,.00281690141,,,,12/12/2019,,,stl,0.00,0.00,,0.00,,,0.08,,0.08
12/12/2019,,2259448940,,,,52035299,,MT,AUT,NGA,,393.80150000000,,,,12/11/2019,0.85,,trn,0.00,0.00,,0.00,,,3.35,mk,3.35
,,,,,,,,,,,,.00281690141,,,,12/12/2019,,,stl,0.00,0.00,,0.00,,,0.01,,0.01
Daily Total : ,,,,,,,,,,,,,,,,,,2,,"(169,313.92)","9,834.17",,(197.87),,,"(1,671.75)","(1,869.62)",
,,,,,,,,,,,,,,,,,,,,(476.94),0.00,,(0.56),,,(4.71),(5.27),
12/16/2019,,2260078228,,,,90064044,,MT,ITA,NGA,,396.99650000000,,,,12/13/2019,2.00,,trn,"(13,227.92)","2,381.98",,(53.99),,,(428.76),,(482.75)
,,,,,,,,,,,,.00281690141,,,,12/16/2019,,,stl,(37.26),0.00,,(0.15),,,(1.21),,(1.36)
12/16/2019,,2260078228,,,,90064044,,MT,ITA,NGA,,396.99650000000,,,,12/13/2019,2.00,,trn,0.00,0.00,,0.00,,,21.44,mk,21.44
,,,,,,,,,,,,.00281690141,,,,12/16/2019,,,stl,0.00,0.00,,0.00,,,0.06,,0.06
12/16/2019,,2260078228,,,,90064044,,MT,ITA,NGA,,396.99650000000,,,,12/13/2019,2.00,,trn,0.00,0.00,,0.00,,,2.70,mk,2.70
,,,,,,,,,,,,.00281690141,,,,12/16/2019,,,stl,0.00,0.00,,0.00,,,0.01,,0.01
12/16/2019,,2260142765,,,,92378814,,MT,USA,NGA,,355.00000000000,,,,12/13/2019,1.25,,trn,"(21,033.75)","3,546.45",,(53.25),,,(638.36),,(691.61)
,,,,,,,,,,,,.00281690141,,,,12/16/2019,,,stl,(59.25),0.00,,(0.15),,,(1.80),,(1.95)
12/16/2019,,2260142765,,,,92378814,,MT,USA,NGA,,355.00000000000,,,,12/13/2019,1.25,,trn,0.00,0.00,,0.00,,,31.92,mk,31.92
,,,,,,,,,,,,.00281690141,,,,12/16/2019,,,stl,0.00,0.00,,0.00,,,0.09,,0.09
12/16/2019,,2260142765,,,,92378814,,MT,USA,NGA,,355.00000000000,,,,12/13/2019,1.25,,trn,0.00,0.00,,0.00,,,2.66,mk,2.66
,,,,,,,,,,,,.00281690141,,,,12/16/2019,,,stl,0.00,0.00,,0.00,,,0.01,,0.01
12/16/2019,,2260518732,,,,24288711,,MT,PER,NGA,,355.00000000000,,,,12/14/2019,1.00,,trn,"(145,001.24)","8,640.70",,(292.93),,,"(1,555.33)",,"(1,848.26)"
,,,,,,,,,,,,.00281690141,,,,12/16/2019,,,stl,(408.45),0.00,,(0.83),,,(4.38),,(5.21)
12/16/2019,,2260518732,,,,24288711,,MT,PER,NGA,,355.00000000000,,,,12/14/2019,1.00,,trn,0.00,0.00,,0.00,,,77.77,mk,77.77
,,,,,,,,,,,,.00281690141,,,,12/16/2019,,,stl,0.00,0.00,,0.00,,,0.22,,0.22
12/16/2019,,2260518732,,,,24288711,,MT,PER,NGA,,355.00000000000,,,,12/14/2019,1.00,,trn,0.00,0.00,,0.00,,,14.65,mk,14.65
,,,,,,,,,,,,.00281690141,,,,12/16/2019,,,stl,0.00,0.00,,0.00,,,0.04,,0.04
12/16/2019,,2260699287,,,,67475820,,MT,USA,NGA,,355.00000000000,,,,12/14/2019,0.45,,trn,"(35,340.25)","2,840.00",,(31.95),,,(511.20),,(543.15)
,,,,,,,,,,,,.00281690141,,,,12/16/2019,,,stl,(99.55),0.00,,(0.09),,,(1.44),,(1.53)
12/16/2019,,2260699287,,,,67475820,,MT,USA,NGA,,355.00000000000,,,,12/14/2019,0.45,,trn,0.00,0.00,,0.00,,,25.56,mk,25.56
,,,,,,,,,,,,.00281690141,,,,12/16/2019,,,stl,0.00,0.00,,0.00,,,0.07,,0.07
Daily Total : ,,,,,,,,,,,,,,,,,,4,,"(214,603.16)","17,409.13",,(432.12),,,"(2,956.95)","(3,389.07)",
,,,,,,,,,,,,,,,,,,,,(604.51),0.00,,(1.22),,,(8.33),(9.55),
12/17/2019,,2260474054,,,,55038742,,MT,SLE,NGA,,.03696095635,,,,12/14/2019,1.10,,trn,"(12,639.78)","1,478.44",,(28.12),,,(266.12),,(294.24)
,,,,,,,,,,,,.00281690141,,,,12/17/2019,,,stl,(35.61),0.00,,(0.08),,,(0.75),,(0.83)
12/17/2019,,2260474054,,,,55038742,,MT,SLE,NGA,,.03696095635,,,,12/14/2019,1.10,,trn,0.00,0.00,,0.00,,,13.31,mk,13.31
,,,,,,,,,,,,.00281690141,,,,12/17/2019,,,stl,0.00,0.00,,0.00,,,0.04,,0.04
12/17/2019,,2260508236,,,,15743232,,MT,FRA,NGA,,394.72450000000,,,,12/14/2019,0.50,,trn,"(10,066.20)","1,539.43",,(10.12),,,(277.10),,(287.22)
,,,,,,,,,,,,.00281690141,,,,12/17/2019,,,stl,(28.36),0.00,,(0.03),,,(0.78),,(0.81)
12/17/2019,,2260508236,,,,15743232,,MT,FRA,NGA,,394.72450000000,,,,12/14/2019,0.50,,trn,0.00,0.00,,0.00,,,13.85,mk,13.85
,,,,,,,,,,,,.00281690141,,,,12/17/2019,,,stl,0.00,0.00,,0.00,,,0.04,,0.04
12/17/2019,,2260957661,,,,80175355,,MT,KOR,NGA,,355.00000000000,,,,12/16/2019,6.00,,trn,"(83,425.00)","8,875.00",,"(1,065.00)",,,"(1,597.50)",,"(2,662.50)"
,,,,,,,,,,,,.00281690141,,,,12/17/2019,,,stl,(235.00),0.00,,(3.00),,,(4.50),,(7.50)
12/17/2019,,2260957661,,,,80175355,,MT,KOR,NGA,,355.00000000000,,,,12/16/2019,6.00,,trn,0.00,0.00,,0.00,,,79.88,mk,79.88
,,,,,,,,,,,,.00281690141,,,,12/17/2019,,,stl,0.00,0.00,,0.00,,,0.23,,0.23
12/17/2019,,2260957661,,,,80175355,,MT,KOR,NGA,,355.00000000000,,,,12/16/2019,6.00,,trn,0.00,0.00,,0.00,,,53.25,mk,53.25
,,,,,,,,,,,,.00281690141,,,,12/17/2019,,,stl,0.00,0.00,,0.00,,,0.15,,0.15
Daily Total : ,,,,,,,,,,,,,,,,,,3,,"(106,130.98)","11,892.87",,"(1,103.24)",,,"(1,980.43)","(3,083.67)",
,,,,,,,,,,,,,,,,,,,,(298.97),0.00,,(3.11),,,(5.57),(8.68),
12/18/2019,,2259919164,,,,51984043,,MT,USA,NGA,,355.00000000000,,,,12/12/2019,0.45,,trn,"(70,680.50)","2,840.00",,(63.90),,,(511.20),,(575.10)
,,,,,,,,,,,,.00281690141,,,,12/18/2019,,,stl,(199.10),0.00,,(0.18),,,(1.44),,(1.62)
12/18/2019,,2259919164,,,,51984043,,MT,USA,NGA,,355.00000000000,,,,12/12/2019,0.45,,trn,0.00,0.00,,0.00,,,25.56,mk,25.56
,,,,,,,,,,,,.00281690141,,,,12/18/2019,,,stl,0.00,0.00,,0.00,,,0.07,,0.07
12/18/2019,,2259919164,,,,51984043,,MT,USA,NGA,,355.00000000000,,,,12/12/2019,0.45,,trn,0.00,0.00,,0.00,,,3.20,mk,3.20
,,,,,,,,,,,,.00281690141,,,,12/18/2019,,,stl,0.00,0.00,,0.00,,,0.01,,0.01
12/18/2019,,2261174805,,,,65066099,,MT,USA,NGA,,355.00000000000,,,,12/16/2019,0.45,,trn,"(17,670.13)","1,420.00",,(15.98),,,(255.60),,(271.58)
,,,,,,,,,,,,.00281690141,,,,12/18/2019,,,stl,(49.78),0.00,,(0.05),,,(0.72),,(0.77)
12/18/2019,,2261174805,,,,65066099,,MT,USA,NGA,,355.00000000000,,,,12/16/2019,0.45,,trn,0.00,0.00,,0.00,,,12.78,mk,12.78
,,,,,,,,,,,,.00281690141,,,,12/18/2019,,,stl,0.00,0.00,,0.00,,,0.04,,0.04
Daily Total : ,,,,,,,,,,,,,,,,,,2,,"(88,350.63)","4,260.00",,(79.88),,,(725.26),(805.14),
,,,,,,,,,,,,,,,,,,,,(248.88),0.00,,(0.23),,,(2.04),(2.27),
12/19/2019,,2261704053,,,,29800099,,MT,DEU,NGA,,395.89600000000,,,,12/18/2019,2.70,,trn,"(385,206.81)","1,579.63",,"(2,137.84)",,,(284.33),,"(2,422.17)"
,,,,,,,,,,,,.00281690141,,,,12/19/2019,,,stl,"(1,085.09)",0.00,,(6.02),,,(0.80),,(6.82)
12/19/2019,,2261704053,,,,29800099,,MT,DEU,NGA,,395.89600000000,,,,12/18/2019,2.70,,trn,0.00,0.00,,0.00,,,14.22,mk,14.22
,,,,,,,,,,,,.00281690141,,,,12/19/2019,,,stl,0.00,0.00,,0.00,,,0.04,,0.04
12/19/2019,,2261704053,,,,29800099,,MT,DEU,NGA,,395.89600000000,,,,12/18/2019,2.70,,trn,0.00,0.00,,0.00,,,106.89,mk,106.89
,,,,,,,,,,,,.00281690141,,,,12/19/2019,,,stl,0.00,0.00,,0.00,,,0.30,,0.30
12/19/2019,,2261756750,,,,28225630,,MT,ITA,NGA,,395.22150000000,,,,12/18/2019,2.00,,trn,"(73,202.93)","4,347.44",,(298.79),,,(782.54),,"(1,081.33)"
,,,,,,,,,,,,.00281690141,,,,12/19/2019,,,stl,(206.21),0.00,,(0.84),,,(2.20),,(3.04)
12/19/2019,,2261756750,,,,28225630,,MT,ITA,NGA,,395.22150000000,,,,12/18/2019,2.00,,trn,0.00,0.00,,0.00,,,39.13,mk,39.13
,,,,,,,,,,,,.00281690141,,,,12/19/2019,,,stl,0.00,0.00,,0.00,,,0.11,,0.11
12/19/2019,,2261756750,,,,28225630,,MT,ITA,NGA,,395.22150000000,,,,12/18/2019,2.00,,trn,0.00,0.00,,0.00,,,14.94,mk,14.94
,,,,,,,,,,,,.00281690141,,,,12/19/2019,,,stl,0.00,0.00,,0.00,,,0.04,,0.04
Daily Total : ,,,,,,,,,,,,,,,,,,2,,"(458,409.74)","5,927.07",,"(2,436.63)",,,(891.69),"(3,328.32)",
,,,,,,,,,,,,,,,,,,,,"(1,291.30)",0.00,,(6.86),,,(2.51),(9.37),
12/20/2019,,2261892196,,,,24492895,,MT,USA,NGA,,355.00000000000,,,,12/18/2019,0.45,,trn,"(123,690.88)","2,840.00",,(111.83),,,(511.20),,(623.03)
,,,,,,,,,,,,.00281690141,,,,12/20/2019,,,stl,(348.43),0.00,,(0.32),,,(1.44),,(1.76)
12/20/2019,,2261892196,,,,24492895,,MT,USA,NGA,,355.00000000000,,,,12/18/2019,0.45,,trn,0.00,0.00,,0.00,,,25.56,mk,25.56
,,,,,,,,,,,,.00281690141,,,,12/20/2019,,,stl,0.00,0.00,,0.00,,,0.07,,0.07
12/20/2019,,2261892196,,,,24492895,,MT,USA,NGA,,355.00000000000,,,,12/18/2019,0.45,,trn,0.00,0.00,,0.00,,,5.59,mk,5.59
,,,,,,,,,,,,.00281690141,,,,12/20/2019,,,stl,0.00,0.00,,0.00,,,0.02,,0.02
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"(123,690.88)","2,840.00",,(111.83),,,(480.05),(591.88),
,,,,,,,,,,,,,,,,,,,,(348.43),0.00,,(0.32),,,(1.35),(1.67),
12/23/2019,,2262108469,,,,45203357,,MT,FRA,NGA,,395.29250000000,,,,12/19/2019,0.50,,trn,"(35,001.19)","1,778.82",,(35.18),,,(320.19),,(355.37)
,,,,,,,,,,,,.00281690141,,,,12/23/2019,,,stl,(98.59),0.00,,(0.10),,,(0.90),,(1.00)
12/23/2019,,2262108469,,,,45203357,,MT,FRA,NGA,,395.29250000000,,,,12/19/2019,0.50,,trn,0.00,0.00,,0.00,,,16.01,mk,16.01
,,,,,,,,,,,,.00281690141,,,,12/23/2019,,,stl,0.00,0.00,,0.00,,,0.05,,0.05
12/23/2019,,2262154342,,,,89948388,,MT,USA,NGA,,355.00000000000,,,,12/19/2019,0.45,,trn,"(10,602.08)","1,420.00",,(9.59),,,(255.60),,(265.19)
,,,,,,,,,,,,.00281690141,,,,12/23/2019,,,stl,(29.87),0.00,,(0.03),,,(0.72),,(0.75)
12/23/2019,,2262154342,,,,89948388,,MT,USA,NGA,,355.00000000000,,,,12/19/2019,0.45,,trn,0.00,0.00,,0.00,,,12.78,mk,12.78
,,,,,,,,,,,,.00281690141,,,,12/23/2019,,,stl,0.00,0.00,,0.00,,,0.04,,0.04
12/23/2019,,2262415413,,,,30087138,,MT,DEU,NGA,,394.90200000000,,,,12/20/2019,2.70,,trn,"(384,239.65)","1,575.66",,"(2,132.47)",,,(283.62),,"(2,416.09)"
,,,,,,,,,,,,.00281690141,,,,12/23/2019,,,stl,"(1,082.37)",0.00,,(6.01),,,(0.80),,(6.81)
12/23/2019,,2262415413,,,,30087138,,MT,DEU,NGA,,394.90200000000,,,,12/20/2019,2.70,,trn,0.00,0.00,,0.00,,,14.18,mk,14.18
,,,,,,,,,,,,.00281690141,,,,12/23/2019,,,stl,0.00,0.00,,0.00,,,0.04,,0.04
12/23/2019,,2262415413,,,,30087138,,MT,DEU,NGA,,394.90200000000,,,,12/20/2019,2.70,,trn,0.00,0.00,,0.00,,,106.62,mk,106.62
,,,,,,,,,,,,.00281690141,,,,12/23/2019,,,stl,0.00,0.00,,0.00,,,0.30,,0.30
12/23/2019,,2262947936,,,,46535317,,MT,USA,NGA,,355.00000000000,,,,12/21/2019,1.25,,trn,"(35,056.25)","3,195.00",,(88.75),,,(575.10),,(663.85)
,,,,,,,,,,,,.00281690141,,,,12/23/2019,,,stl,(98.75),0.00,,(0.25),,,(1.62),,(1.87)
12/23/2019,,2262947936,,,,46535317,,MT,USA,NGA,,355.00000000000,,,,12/21/2019,1.25,,trn,0.00,0.00,,0.00,,,28.76,mk,28.76
,,,,,,,,,,,,.00281690141,,,,12/23/2019,,,stl,0.00,0.00,,0.00,,,0.08,,0.08
12/23/2019,,2262947936,,,,46535317,,MT,USA,NGA,,355.00000000000,,,,12/21/2019,1.25,,trn,0.00,0.00,,0.00,,,4.44,mk,4.44
,,,,,,,,,,,,.00281690141,,,,12/23/2019,,,stl,0.00,0.00,,0.00,,,0.01,,0.01
Daily Total : ,,,,,,,,,,,,,,,,,,4,,"(464,899.17)","7,969.48",,"(2,265.99)",,,"(1,251.72)","(3,517.71)",
,,,,,,,,,,,,,,,,,,,,"(1,309.58)",0.00,,(6.39),,,(3.52),(9.91),
12/27/2019,,2264383014,,,,75830913,,MT,USA,NGA,,355.00000000000,,,,12/24/2019,0.45,,trn,"(21,204.15)","2,840.00",,(19.17),,,(511.20),,(530.37)
,,,,,,,,,,,,.00281690141,,,,12/27/2019,,,stl,(59.73),0.00,,(0.05),,,(1.44),,(1.49)
12/27/2019,,2264383014,,,,75830913,,MT,USA,NGA,,355.00000000000,,,,12/24/2019,0.45,,trn,0.00,0.00,,0.00,,,25.56,mk,25.56
,,,,,,,,,,,,.00281690141,,,,12/27/2019,,,stl,0.00,0.00,,0.00,,,0.07,,0.07
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"(21,204.15)","2,840.00",,(19.17),,,(485.64),(504.81),
,,,,,,,,,,,,,,,,,,,,(59.73),0.00,,(0.05),,,(1.37),(1.42),
12/30/2019,,2262213602,,,,42073889,,MT,MSR,NGA,,132.05862659020,,,,12/19/2019,0.50,,trn,"(15,767.80)","3,169.41",,(15.85),,,(570.49),,(586.34)
,,,,,,,,,,,,.00281690141,,,,12/30/2019,,,stl,(44.42),0.00,,(0.04),,,(1.61),,(1.65)
12/30/2019,,2262213602,,,,42073889,,MT,MSR,NGA,,132.05862659020,,,,12/19/2019,0.50,,trn,0.00,0.00,,0.00,,,28.52,mk,28.52
,,,,,,,,,,,,.00281690141,,,,12/30/2019,,,stl,0.00,0.00,,0.00,,,0.08,,0.08
12/30/2019,,2264354947,,,,55989963,,MT,USA,NGA,,355.00000000000,,,,12/24/2019,1.25,,trn,"(175,281.25)","3,514.50",,(443.75),,,(632.61),,"(1,076.36)"
,,,,,,,,,,,,.00281690141,,,,12/30/2019,,,stl,(493.75),0.00,,(1.25),,,(1.78),,(3.03)
12/30/2019,,2264354947,,,,55989963,,MT,USA,NGA,,355.00000000000,,,,12/24/2019,1.25,,trn,0.00,0.00,,0.00,,,31.63,mk,31.63
,,,,,,,,,,,,.00281690141,,,,12/30/2019,,,stl,0.00,0.00,,0.00,,,0.09,,0.09
12/30/2019,,2264354947,,,,55989963,,MT,USA,NGA,,355.00000000000,,,,12/24/2019,1.25,,trn,0.00,0.00,,0.00,,,22.19,mk,22.19
,,,,,,,,,,,,.00281690141,,,,12/30/2019,,,stl,0.00,0.00,,0.00,,,0.06,,0.06
