PRIMROSE TOWER 17A TINIBU STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAGOS, Lagos",,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Send  Activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Settlement Currency : ,,,,USD,,,Transaction Currency : ,,,,,,NGN,,,,,,,,,,,,,,,
,,,,,,,,,Orig,Rcv,,,,,,,FX,,,,,,,Fx Rev,,,,
Tran Date,,Tran Id,,,,Ref #,,Prod,Cntry,Cntry,,FX Rate,,,,FX Date,Margin,,,Base Amt,Fee Amt,,,Share Amt,Commission Amt,,,Total
12/17/2019,,2261445171,,,,42985558,,MT,NGA,IND,,.19990845081,,,,12/17/2019,,,trn,0.00,0.00,,0.00,,,111.15,mk,111.15
,,,,,,,,,,,,.00281690141,,,,12/17/2019,,,stl,0.00,0.00,,0.00,,,0.31,,0.31
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"340,000.00","12,350.00",,0.00,,,"(2,111.85)","(2,111.85)",
,,,,,,,,,,,,,,,,,,,,957.75,34.79,,0.00,,,(5.95),(5.95),
Account   100711693 - 100712857 Total : ,,,,,,,,,,,,,,,,,,3,,"440,000.00","23,350.00",,0.00,,,"(3,992.85)","(3,992.85)",
,,,,,,,,,,,,,,,,,,,,"1,239.45",65.77,,0.00,,,(11.25),(11.25),
Account Number : ,,,100711693 - 100712894,,,,,,,,,,,,,,,,,,,,,,,,,
,Agent Name : ,,,,FCMB - #028 - UYO - UYO BRANCH,,,,,,,,,,,,,,,,,,,,,,,
,Legacy ID : ,,,,654022,,,,,Store Number : ,,,,028,,,,,,,,,,,,,,
12/3/2019,,2256813529,,,,16549346,,MT,NGA,UKR,,.00254416674,,,,12/3/2019,,,trn,"190,025.00","9,500.00",,0.00,,,"(1,710.00)",,"(1,710.00)"
,,,,,,,,,,,,.00281690141,,,,12/3/2019,,,stl,535.28,26.76,,0.00,,,(4.82),,(4.82)
12/3/2019,,2256813529,,,,16549346,,MT,NGA,UKR,,.00254416674,,,,12/3/2019,,,trn,0.00,0.00,,0.00,,,85.50,mk,85.50
,,,,,,,,,,,,.00281690141,,,,12/3/2019,,,stl,0.00,0.00,,0.00,,,0.24,,0.24
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"190,025.00","9,500.00",,0.00,,,"(1,624.50)","(1,624.50)",
,,,,,,,,,,,,,,,,,,,,535.28,26.76,,0.00,,,(4.58),(4.58),
12/16/2019,,2261062450,,,,32897411,,MT,NGA,GHA,,.01559352114,,,,12/16/2019,,,trn,"26,010.00","3,800.00",,0.00,,,(684.00),,(684.00)
,,,,,,,,,,,,.00281690141,,,,12/16/2019,,,stl,73.27,10.70,,0.00,,,(1.93),,(1.93)
12/16/2019,,2261062450,,,,32897411,,MT,NGA,GHA,,.01559352114,,,,12/16/2019,,,trn,0.00,0.00,,0.00,,,34.20,mk,34.20
,,,,,,,,,,,,.00281690141,,,,12/16/2019,,,stl,0.00,0.00,,0.00,,,0.10,,0.10
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"26,010.00","3,800.00",,0.00,,,(649.80),(649.80),
,,,,,,,,,,,,,,,,,,,,73.27,10.70,,0.00,,,(1.83),(1.83),
12/17/2019,,2261378504,,,,50217640,,MT,NGA,VCT,,.00757239437,,,,12/17/2019,,,trn,"100,000.00","6,800.00",,0.00,,,"(1,224.00)",,"(1,224.00)"
,,,,,,,,,,,,.00281690141,,,,12/17/2019,,,stl,281.69,19.15,,0.00,,,(3.45),,(3.45)
12/17/2019,,2261378504,,,,50217640,,MT,NGA,VCT,,.00757239437,,,,12/17/2019,,,trn,0.00,0.00,,0.00,,,61.20,mk,61.20
,,,,,,,,,,,,.00281690141,,,,12/17/2019,,,stl,0.00,0.00,,0.00,,,0.17,,0.17
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"100,000.00","6,800.00",,0.00,,,"(1,162.80)","(1,162.80)",
,,,,,,,,,,,,,,,,,,,,281.69,19.15,,0.00,,,(3.28),(3.28),
12/24/2019,,2264118049,,,,45598077,,MT,NGA,UKR,,.00281690141,,,,12/24/2019,2.00,,trn,"53,950.00","1,000.00",,(215.80),,,(180.00),,(395.80)
,,,,,,,,,,,,.00281690141,,,,12/24/2019,,,stl,151.97,2.82,,(0.61),,,(0.51),,(1.12)
12/24/2019,,2264118049,,,,45598077,,MT,NGA,UKR,,.00281690141,,,,12/24/2019,2.00,,trn,0.00,0.00,,0.00,,,9.00,mk,9.00
,,,,,,,,,,,,.00281690141,,,,12/24/2019,,,stl,0.00,0.00,,0.00,,,0.03,,0.03
12/24/2019,,2264118049,,,,45598077,,MT,NGA,UKR,,.00281690141,,,,12/24/2019,2.00,,trn,0.00,0.00,,0.00,,,10.79,mk,10.79
,,,,,,,,,,,,.00281690141,,,,12/24/2019,,,stl,0.00,0.00,,0.00,,,0.03,,0.03
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"53,950.00","1,000.00",,(215.80),,,(160.21),(376.01),
,,,,,,,,,,,,,,,,,,,,151.97,2.82,,(0.61),,,(0.45),(1.06),
Account   100711693 - 100712894 Total : ,,,,,,,,,,,,,,,,,,4,,"369,985.00","21,100.00",,(215.80),,,"(3,597.31)","(3,813.11)",
