,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Receive  Activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Settlement Currency : ,,,,,,USD,,,,Transaction Currency : ,,,,,,,,,,,,,NGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Orig,,,,Rcv,,,,,,,,,,FX,,,,,,,,,,,,,,,,,,,Fx Rev,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tran Date,,,Tran Id,,,,,Ref #,,,Prod,,,Cntry,,,,Cntry,,,FX Rate,,,,FX Date,,,Margin,,,,,,Base Amt,,,,,,Fee Amt,,,,,,,Share Amt,,,,Commission Amt,,,,,,,Total,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/15/18,,,2047985084,,,,,45220565,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/14/18,,,1.10,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,7.81,,mk,,,7.81,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/15/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.02,,,,,0.02,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Total : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,"(245,766.50)",,,,,,"5,672.90",,,,,(546.70),,,,,,,(942.72),,,,"(1,489.42)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(692.30),,,,,,0.00,,,,,(1.54),,,,,,,(2.66),,,,(4.20),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/16/18,,,2048318513,,,,,54243118,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/15/18,,,1.10,,,trn,,,,,"(172,036.55)",,,"2,836.45",,,,,,,(382.69),,,,,,,(510.56),,,,,(893.25),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/16/18,,,,,,stl,,,,,(484.61),,,0.00,,,,,,,(1.08),,,,,,,(1.44),,,,,(2.52),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/16/18,,,2048318513,,,,,54243118,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/15/18,,,1.10,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,25.53,,mk,,,25.53,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/16/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.07,,,,,0.07,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/16/18,,,2048318513,,,,,54243118,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/15/18,,,1.10,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,19.13,,mk,,,19.13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/16/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.05,,,,,0.05,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/16/18,,,2048449759,,,,,81029271,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/16/18,,,1.10,,,trn,,,,,"(105,328.50)",,,"2,836.45",,,,,,,(234.30),,,,,,,(510.56),,,,,(744.86),
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/16/18,,,,,,stl,,,,,(296.70),,,0.00,,,,,,,(0.66),,,,,,,(1.44),,,,,(2.10),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/16/18,,,2048449759,,,,,81029271,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/16/18,,,1.10,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,25.53,,mk,,,25.53,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/16/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.07,,,,,0.07,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/16/18,,,2048449759,,,,,81029271,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/16/18,,,1.10,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,11.72,,mk,,,11.72,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/16/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.03,,,,,0.03,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Total : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,"(277,365.05)",,,,,,"5,672.90",,,,,(616.99),,,,,,,(939.21),,,,"(1,556.20)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(781.31),,,,,,0.00,,,,,(1.74),,,,,,,(2.66),,,,(4.40),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/17/18,,,2048580124,,,,,75278315,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/16/18,,,1.50,,,trn,,,,,"(30,421.73)",,,"2,836.45",,,,,,,(92.66),,,,,,,(510.56),,,,,(603.22),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/17/18,,,,,,stl,,,,,(85.70),,,0.00,,,,,,,(0.26),,,,,,,(1.44),,,,,(1.70),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/17/18,,,2048580124,,,,,75278315,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/16/18,,,1.50,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,25.53,,mk,,,25.53,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/17/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.07,,,,,0.07,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/17/18,,,2048580124,,,,,75278315,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/16/18,,,1.50,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,4.63,,mk,,,4.63,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/17/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.01,,,,,0.01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/17/18,,,2048726237,,,,,28890683,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/16/18,,,1.50,,,trn,,,,,"(104,902.50)",,,"2,836.45",,,,,,,(319.50),,,,,,,(510.56),,,,,(830.06),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/17/18,,,,,,stl,,,,,(295.50),,,0.00,,,,,,,(0.90),,,,,,,(1.44),,,,,(2.34),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/17/18,,,2048726237,,,,,28890683,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/16/18,,,1.50,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,15.98,,mk,,,15.98,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/17/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.05,,,,,0.05,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/17/18,,,2048726237,,,,,28890683,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/16/18,,,1.50,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,25.53,,mk,,,25.53,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/17/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.07,,,,,0.07,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Total : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,"(135,324.23)",,,,,,"5,672.90",,,,,(412.16),,,,,,,(949.45),,,,"(1,361.61)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(381.20),,,,,,0.00,,,,,(1.16),,,,,,,(2.68),,,,(3.84),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/19/18,,,2048939885,,,,,25472886,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/17/18,,,1.10,,,trn,,,,,"(35,109.50)",,,"2,836.45",,,,,,,(78.10),,,,,,,(510.56),,,,,(588.66),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/19/18,,,,,,stl,,,,,(98.90),,,0.00,,,,,,,(0.22),,,,,,,(1.44),,,,,(1.66),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/19/18,,,2048939885,,,,,25472886,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/17/18,,,1.10,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,25.53,,mk,,,25.53,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/19/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.07,,,,,0.07,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/19/18,,,2048939885,,,,,25472886,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/17/18,,,1.10,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,3.91,,mk,,,3.91,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/19/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.01,,,,,0.01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/19/18,,,2048997603,,,,,68153201,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/17/18,,,1.50,,,trn,,,,,"(52,451.25)",,,"2,836.45",,,,,,,(159.75),,,,,,,(510.56),,,,,(670.31),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/19/18,,,,,,stl,,,,,(147.75),,,0.00,,,,,,,(0.45),,,,,,,(1.44),,,,,(1.89),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/19/18,,,2048997603,,,,,68153201,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/17/18,,,1.50,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,7.99,,mk,,,7.99,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/19/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.02,,,,,0.02,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/19/18,,,2048997603,,,,,68153201,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/17/18,,,1.50,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,25.53,,mk,,,25.53,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/19/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.07,,,,,0.07,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/19/18,,,2049080780,,,,,29008038,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/17/18,,,1.50,,,trn,,,,,"(17,483.75)",,,"2,836.45",,,,,,,(53.25),,,,,,,(510.56),,,,,(563.81),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/19/18,,,,,,stl,,,,,(49.25),,,0.00,,,,,,,(0.15),,,,,,,(1.44),,,,,(1.59),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/19/18,,,2049080780,,,,,29008038,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/17/18,,,1.50,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,25.53,,mk,,,25.53,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/19/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.07,,,,,0.07,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/19/18,,,2049080780,,,,,29008038,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/17/18,,,1.50,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,2.66,,mk,,,2.66,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/19/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.01,,,,,0.01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/19/18,,,2049280753,,,,,91046354,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/18/18,,,1.10,,,trn,,,,,"(91,284.70)",,,"2,836.45",,,,,,,(203.06),,,,,,,(510.56),,,,,(713.62),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/19/18,,,,,,stl,,,,,(257.14),,,0.00,,,,,,,(0.57),,,,,,,(1.44),,,,,(2.01),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/19/18,,,2049280753,,,,,91046354,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/18/18,,,1.10,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,25.53,,mk,,,25.53,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/19/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.07,,,,,0.07,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/19/18,,,2049280753,,,,,91046354,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/18/18,,,1.10,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,10.15,,mk,,,10.15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/19/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.03,,,,,0.03,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Total : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,"(196,329.20)",,,,,,"11,345.80",,,,,(494.16),,,,,,,"(1,915.41)",,,,"(2,409.57)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(553.04),,,,,,0.00,,,,,(1.39),,,,,,,(5.41),,,,(6.80),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/20/18,,,2049693291,,,,,41338755,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/19/18,,,1.10,,,trn,,,,,"(333,540.25)",,,"4,970.00",,,,,,,(741.95),,,,,,,(894.60),,,,,"(1,636.55)",
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/20/18,,,,,,stl,,,,,(939.55),,,0.00,,,,,,,(2.09),,,,,,,(2.52),,,,,(4.61),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/20/18,,,2049693291,,,,,41338755,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/19/18,,,1.10,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,37.10,,mk,,,37.10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/20/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.10,,,,,0.10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/20/18,,,2049693291,,,,,41338755,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/19/18,,,1.10,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,44.73,,mk,,,44.73,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/20/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.13,,,,,0.13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Total : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,"(333,540.25)",,,,,,"4,970.00",,,,,(741.95),,,,,,,(812.77),,,,"(1,554.72)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(939.55),,,,,,0.00,,,,,(2.09),,,,,,,(2.29),,,,(4.38),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/21/18,,,2048860713,,,,,63637344,,,MT,,,GBR,,,,NGA,,,495.18950000000,,,,03/17/18,,,1.25,,,trn,,,,,"(20,542.87)",,,"1,480.62",,,,,,,(52.01),,,,,,,(266.51),,,,,(318.52),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/21/18,,,,,,stl,,,,,(57.87),,,0.00,,,,,,,(0.15),,,,,,,(0.75),,,,,(0.90),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/21/18,,,2048860713,,,,,63637344,,,MT,,,GBR,,,,NGA,,,495.18950000000,,,,03/17/18,,,1.25,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,13.33,,mk,,,13.33,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/21/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.04,,,,,0.04,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/21/18,,,2048860713,,,,,63637344,,,MT,,,GBR,,,,NGA,,,495.18950000000,,,,03/17/18,,,1.25,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,2.60,,mk,,,2.60,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/21/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.01,,,,,0.01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/21/18,,,2050242860,,,,,61939901,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/21/18,,,1.10,,,trn,,,,,"(193,102.25)",,,"4,970.00",,,,,,,(429.55),,,,,,,(894.60),,,,,"(1,324.15)",
